Sexo,Talla
MASCULINO,54.0
MASCULINO,51.0
MASCULINO,56.0
MASCULINO,51.0
MASCULINO,51.0
MASCULINO,56.0
MASCULINO,53.0
MASCULINO,51.0
MASCULINO,53.0
MASCULINO,54.0
MASCULINO,52.0
MASCULINO,55.0
MASCULINO,52.0
MASCULINO,52.0
MASCULINO,51.0
MASCULINO,51.0
MASCULINO,51.0
MASCULINO,57.0
MASCULINO,51.0
MASCULINO,53.0
MASCULINO,50.0
MASCULINO,52.0
MASCULINO,53.0
MASCULINO,54.0
MASCULINO,50.0
MASCULINO,53.0
MASCULINO,52.0
MASCULINO,50.0
MASCULINO,49.0
MASCULINO,52.0
MASCULINO,56.0
MASCULINO,58.0
MASCULINO,52.0
MASCULINO,55.0
MASCULINO,50.0
MASCULINO,55.0
MASCULINO,53.0
MASCULINO,52.0
MASCULINO,49.0
MASCULINO,55.0
MASCULINO,49.0
MASCULINO,52.0
MASCULINO,48.0
MASCULINO,50.0
MASCULINO,54.0
MASCULINO,58.0
MASCULINO,53.0
MASCULINO,51.0
MASCULINO,55.0
MASCULINO,57.0
MASCULINO,54.0
MASCULINO,52.0
MASCULINO,53.0
MASCULINO,53.0
MASCULINO,51.0
MASCULINO,52.0
MASCULINO,50.0
MASCULINO,50.0
MASCULINO,54.0
MASCULINO,50.0
MASCULINO,52.0
MASCULINO,57.0
MASCULINO,55.0
MASCULINO,58.0
MASCULINO,50.0
MASCULINO,51.0
MASCULINO,52.0
MASCULINO,55.0
MASCULINO,53.0
MASCULINO,50.0
MASCULINO,53.0
MASCULINO,53.0
MASCULINO,51.0
MASCULINO,53.0
MASCULINO,52.0
MASCULINO,50.0
MASCULINO,57.0
MASCULINO,51.0
MASCULINO,51.0
MASCULINO,53.0
MASCULINO,53.0
MASCULINO,54.0
MASCULINO,56.0
MASCULINO,56.0
MASCULINO,51.0
MASCULINO,49.0
MASCULINO,47.0
MASCULINO,54.0
MASCULINO,49.0
MASCULINO,52.0
MASCULINO,52.0
MASCULINO,51.0
MASCULINO,51.0
MASCULINO,55.0
MASCULINO,53.0
MASCULINO,48.0
MASCULINO,52.0
MASCULINO,58.0
MASCULINO,52.0
MASCULINO,50.0
MASCULINO,52.0
MASCULINO,50.0
MASCULINO,53.0
MASCULINO,34.0
MASCULINO,51.0
MASCULINO,50.0
MASCULINO,52.0
MASCULINO,58.0
MASCULINO,55.0
MASCULINO,50.0
MASCULINO,56.0
MASCULINO,49.0
MASCULINO,57.0
MASCULINO,54.0
MASCULINO,54.0
MASCULINO,51.0
MASCULINO,56.0
MASCULINO,50.0
MASCULINO,51.0
MASCULINO,52.0
MASCULINO,55.0
MASCULINO,56.0
MASCULINO,50.0
MASCULINO,54.0
MASCULINO,59.0
MASCULINO,52.0
MASCULINO,44.0
MASCULINO,53.0
MASCULINO,55.0
MASCULINO,50.0
MASCULINO,55.0
MASCULINO,54.0
MASCULINO,54.0
MASCULINO,48.0
MASCULINO,52.0
MASCULINO,57.0
MASCULINO,52.0
MASCULINO,54.0
MASCULINO,49.0
MASCULINO,50.0
MASCULINO,56.0
MASCULINO,57.0
MASCULINO,53.0
MASCULINO,48.0
MASCULINO,51.0
MASCULINO,53.0
MASCULINO,56.0
